id,fixture,n,strategy,seed,location,status,supply_peak_kw,delivered_energy_kwh,unmet_energy_kwh,min_voltage_pu,grid_violation_steps
e16325be2cff22d5689f,2025-06-1-as_supplied-normal,10000,capacity_aware,61003,home,passed,165375.4821781923,140000.0,0,0.9635142324823378,0
e195e1b7fae0e0f628bb,2025-06-1-as_supplied-normal,1000,randomized_delay,61001,home,passed,145406.79138918503,14000.0,0,0.9722657747997784,0
e1bc9d64f6612496b1c5,2025-06-1-as_supplied-normal,20000,immediate,61001,home,unknown,167863.87099486362,280000.0,0,0.6787038308783546,24
e3970d98c30caf362e3c,2025-06-1-as_supplied-normal,40000,capacity_aware,61001,public,failed,150446.83959015692,67977.99000000005,492022.0100000003,0.9708122538680046,0
e3adc75e775d6c37dc50,2025-12-1-as_supplied-normal,1000,immediate,61002,mixed,failed,234737.906767222,14000.0,0,0.9352959570316247,19
e3b13ccd9b278e2056f4,2025-06-1-as_supplied-normal,30000,capacity_aware,61001,work,passed,178593.30413883048,420000.0,0,0.9548672476800976,0
e5c6dda3494901d6bf30,2025-06-1-as_supplied-normal,60000,capacity_aware,61001,home,failed,194860.29499399065,821074.1780632416,18925.821936758708,0.9504646371727636,0
e5c945e4fd20b65f8637,2025-06-1-as_supplied-normal,5500,capacity_aware,61002,home,failed,147708.0252368084,76840.94937121816,159.05062878188602,0.9501718607037997,0
e6923df5c6d0103fde22,2025-12-1.2-regulated-normal,20000,immediate,61002,home,failed,296437.5933336739,280000.0,0,0.930920469057104,23
e6a4163c87cf30af13b0,2025-06-1-as_supplied-normal,1000,immediate,61002,home,passed,149022.6937674198,14000.0,0,0.9710231950590933,0
e6c659aa8b3eb8d0e7dc,2025-06-1-as_supplied-normal,20000,immediate,61003,home,unknown,167588.90210298705,280000.0,0,0.6854904609041018,24
e748afa17adca821d2a1,2025-06-1-as_supplied-normal,1000,capacity_aware,61001,public,passed,146625.18742632424,14000.0,0,0.9718903504985155,0
e7b2a6437f6bd9ab18cc,2025-06-1-as_supplied-normal,1000,capacity_aware,61001,work,passed,145406.79138923384,14000.0,0,0.9722657747998734,0
e80bec3bc6c17c1be403,2025-06-1-as_supplied-normal,0,immediate,61002,work,passed,145406.79138918503,0,0,0.9722657747997784,0
e82aa3bdfa2c82486205,2025-12-1-as_supplied-normal,1000,capacity_aware,61001,public,failed,231949.31066123908,9968.264999999996,4031.7349999999997,0.9366128671186462,19
